case,design,arm,batch,posterior_prob
Case 3: Competing second best,Thompson sampling,alt1,0,0.1111111111111111
Case 3: Competing second best,Thompson sampling,alt2,0,0.1111111111111111
Case 3: Competing second best,Thompson sampling,alt3,0,0.1111111111111111
Case 3: Competing second best,Thompson sampling,alt4,0,0.1111111111111111
Case 3: Competing second best,Thompson sampling,alt5,0,0.1111111111111111
Case 3: Competing second best,Thompson sampling,alt6,0,0.1111111111111111
Case 3: Competing second best,Thompson sampling,alt7,0,0.1111111111111111
Case 3: Competing second best,Thompson sampling,alt8,0,0.1111111111111111
Case 3: Competing second best,Thompson sampling,best,1,0.0354
Case 3: Competing second best,Thompson sampling,alt1,1,0.838
Case 3: Competing second best,Thompson sampling,alt2,1,0.0172
Case 3: Competing second best,Thompson sampling,alt3,1,0.0136
Case 3: Competing second best,Thompson sampling,alt4,1,0.0298
Case 3: Competing second best,Thompson sampling,alt5,1,0.0204
Case 3: Competing second best,Thompson sampling,alt6,1,0.0162
Case 3: Competing second best,Thompson sampling,alt7,1,0.025
Case 3: Competing second best,Thompson sampling,alt8,1,0.0044
Case 3: Competing second best,Thompson sampling,best,2,0.1978
Case 3: Competing second best,Thompson sampling,alt1,2,0.2816
Case 3: Competing second best,Thompson sampling,alt2,2,0.0482
Case 3: Competing second best,Thompson sampling,alt3,2,0.0174
Case 3: Competing second best,Thompson sampling,alt4,2,0.0808
Case 3: Competing second best,Thompson sampling,alt5,2,0.0478
Case 3: Competing second best,Thompson sampling,alt6,2,0.1434
Case 3: Competing second best,Thompson sampling,alt7,2,0.1698
Case 3: Competing second best,Thompson sampling,alt8,2,0.0132
Case 3: Competing second best,Thompson sampling,best,3,0.444
Case 3: Competing second best,Thompson sampling,alt1,3,0.3068
Case 3: Competing second best,Thompson sampling,alt2,3,0.02
Case 3: Competing second best,Thompson sampling,alt3,3,0.025
Case 3: Competing second best,Thompson sampling,alt4,3,0.036
Case 3: Competing second best,Thompson sampling,alt5,3,0.0684
Case 3: Competing second best,Thompson sampling,alt6,3,0.0326
Case 3: Competing second best,Thompson sampling,alt7,3,0.0426
Case 3: Competing second best,Thompson sampling,alt8,3,0.0246
Case 3: Competing second best,Thompson sampling,best,4,0.4678
Case 3: Competing second best,Thompson sampling,alt1,4,0.2122
Case 3: Competing second best,Thompson sampling,alt2,4,0.0074
Case 3: Competing second best,Thompson sampling,alt3,4,0.005
Case 3: Competing second best,Thompson sampling,alt4,4,0.2558
Case 3: Competing second best,Thompson sampling,alt5,4,0.0146
Case 3: Competing second best,Thompson sampling,alt6,4,0.0048
Case 3: Competing second best,Thompson sampling,alt7,4,0.0058
Case 3: Competing second best,Thompson sampling,alt8,4,0.0266
Case 3: Competing second best,Thompson sampling,best,5,0.298
Case 3: Competing second best,Thompson sampling,alt1,5,0.2626
Case 3: Competing second best,Thompson sampling,alt2,5,0.006
Case 3: Competing second best,Thompson sampling,alt3,5,0.0024
Case 3: Competing second best,Thompson sampling,alt4,5,0.3728
Case 3: Competing second best,Thompson sampling,alt5,5,0.0092
Case 3: Competing second best,Thompson sampling,alt6,5,0.0246
Case 3: Competing second best,Thompson sampling,alt7,5,0.0064
Case 3: Competing second best,Thompson sampling,alt8,5,0.018
Case 3: Competing second best,Thompson sampling,best,6,0.52
Case 3: Competing second best,Thompson sampling,alt1,6,0.3498
Case 3: Competing second best,Thompson sampling,alt2,6,0.0074
Case 3: Competing second best,Thompson sampling,alt3,6,0.0016
Case 3: Competing second best,Thompson sampling,alt4,6,0.019
Case 3: Competing second best,Thompson sampling,alt5,6,0.0314
Case 3: Competing second best,Thompson sampling,alt6,6,0.0448
Case 3: Competing second best,Thompson sampling,alt7,6,0.0078
Case 3: Competing second best,Thompson sampling,alt8,6,0.0182
Case 3: Competing second best,Thompson sampling,best,7,0.641
Case 3: Competing second best,Thompson sampling,alt1,7,0.2758
Case 3: Competing second best,Thompson sampling,alt2,7,0.01
Case 3: Competing second best,Thompson sampling,alt3,7,0.0038
Case 3: Competing second best,Thompson sampling,alt4,7,0.0106
Case 3: Competing second best,Thompson sampling,alt5,7,0.0154
Case 3: Competing second best,Thompson sampling,alt6,7,0.0284
Case 3: Competing second best,Thompson sampling,alt7,7,0.0054
Case 3: Competing second best,Thompson sampling,alt8,7,0.0096
Case 3: Competing second best,Thompson sampling,best,8,0.6456
Case 3: Competing second best,Thompson sampling,alt1,8,0.2016
Case 3: Competing second best,Thompson sampling,alt2,8,0.011
Case 3: Competing second best,Thompson sampling,alt3,8,0.0026
Case 3: Competing second best,Thompson sampling,alt4,8,0.0208
Case 3: Competing second best,Thompson sampling,alt5,8,0.0336
Case 3: Competing second best,Thompson sampling,alt6,8,0.0634
Case 3: Competing second best,Thompson sampling,alt7,8,0.0088
Case 3: Competing second best,Thompson sampling,alt8,8,0.0126
Case 3: Competing second best,Thompson sampling,best,9,0.8602
Case 3: Competing second best,Thompson sampling,alt1,9,0.052
Case 3: Competing second best,Thompson sampling,alt2,9,0.0058
Case 3: Competing second best,Thompson sampling,alt3,9,0.0026
